(1) free fall
--------------------------------------------------------------------------
   t  ,    x(RK4)      ,    v(RK4)      ,    x(exact)    ,    v(exact)    
 7.400,  -51.7262029537,   -9.7878971142,  -52.7321028047,   -9.7878971953
 7.500,  -52.7049926651,   -9.7890488551,  -53.7109510705,   -9.7890489295
 7.600,  -53.6838975506,   -9.7900909934,  -54.6899089384,   -9.7900910616
 7.700,  -54.6629066500,   -9.7910339592,  -55.6689659782,   -9.7910340218
 7.800,  -55.6420100459,   -9.7918871901,  -56.6481127526,   -9.7918872474
 7.900,  -56.6211987649,   -9.7926592254,  -57.6273407221,   -9.7926592779
 8.000,  -57.6004646874,   -9.7933577918,  -58.6066421600,   -9.7933578400
 8.100,  -58.5798004666,   -9.7939898810,  -59.5860100749,   -9.7939899251
 8.200,  -59.5591994547,   -9.7945618189,  -60.5654381407,   -9.7945618593
 8.300,  -60.5386556366,   -9.7950793298,  -61.5449206332,   -9.7950793668
 8.400,  -61.5181635696,   -9.7955475931,  -62.5244523730,   -9.7955476270
 8.500,  -62.4977183289,   -9.7959712953,  -63.5040286737,   -9.7959713263
 8.600,  -63.4773154584,   -9.7963546769,  -64.4836452947,   -9.7963547053
 8.700,  -64.4569509261,   -9.7967015749,  -65.4632983991,   -9.7967016009
 8.800,  -65.4366210836,   -9.7970154613,  -66.4429845149,   -9.7970154851
 8.900,  -66.4163226297,   -9.7972994775,  -67.4227005007,   -9.7972994993
 9.000,  -67.3960525775,   -9.7975564660,  -68.4024435141,   -9.7975564859
 9.100,  -68.3758082241,   -9.7977889988,  -69.3822109830,   -9.7977890170
 9.200,  -69.3555871239,   -9.7979994032,  -70.3620005802,   -9.7979994198
 9.300,  -70.3353870643,   -9.7981897850,  -71.3418101998,   -9.7981898002
 9.400,  -71.3152060428,   -9.7983620496,  -72.3216379365,   -9.7983620635
 9.500,  -72.2950422477,   -9.7985179210,  -73.3014820662,   -9.7985179338
 9.600,  -73.2748940398,   -9.7986589594,  -74.2813410290,   -9.7986589710
 9.700,  -74.2547599358,   -9.7987865761,  -75.2612134132,   -9.7987865868
 9.800,  -75.2346385934,   -9.7989020486,  -76.2410979417,   -9.7989020583
 9.900,  -76.2145287982,   -9.7990065324,  -77.2209934587,   -9.7990065413
10.000,  -77.1944294515,   -9.7991010732,  -78.2008989186,   -9.7991010814
--------------------------------------------------------------------------

(2) damped oscillation
--------------------------------------------------------------------------
   t  ,    x(RK4)      ,    v(RK4)      ,    x(exact)    ,    v(exact)    
--------------------------------------------------------------------------
 0.000,   +1.0000000000,   +0.0000000000,   +1.0000000000,   +0.0000000000
 0.100,   +1.0000000000,   -0.0951625000,   +0.9951665847,   -0.0950040834
 0.200,   +0.9904837500,   -0.1812690986,   +0.9813307555,   -0.1800640025
 0.300,   +0.9723568401,   -0.2582759879,   +0.9594807609,   -0.2553172918
 0.400,   +0.9465292414,   -0.3262297070,   +0.9305870067,   -0.3209816422
 0.500,   +0.9139062707,   -0.3852589614,   +0.8955945265,   -0.3773452035
 0.600,   +0.8753803745,   -0.4355663610,   +0.8554164111,   -0.4247571393
 0.700,   +0.8318237384,   -0.4774201620,   +0.8109281657,   -0.4636185010
 0.800,   +0.7840817222,   -0.5111460924,   +0.7629629624,   -0.4943734766
 0.900,   +0.7329671130,   -0.5371193292,   +0.7123077466,   -0.5175010622
 1.000,   +0.6792551801,   -0.5557566940,   +0.6597001534,   -0.5335071951
 1.100,   +0.6236795107,   -0.5675091187,   +0.6058261866,   -0.5429173796
 1.200,   +0.5669285988,   -0.5728544336,   +0.5513186090,   -0.5462698280
 1.300,   +0.5096431554,   -0.5722905163,   +0.4967559930,   -0.5441091339
 1.400,   +0.4524141038,   -0.5663288368,   +0.4426623755,   -0.5369804867
 1.500,   +0.3957812201,   -0.5554884261,   +0.3895074654,   -0.5254244313
 1.600,   +0.3402323775,   -0.5402902891,   +0.3377073476,   -0.5099721701
 1.700,   +0.2862033486,   -0.5212522781,   +0.2876256292,   -0.4911414013
 1.800,   +0.2340781208,   -0.4988844343,   +0.2395749765,   -0.4694326816
 1.900,   +0.1841896774,   -0.4736848035,   +0.1938189895,   -0.4453262979
 2.000,   +0.1368211970,   -0.4461357236,   +0.1505743651,   -0.4192796297
 2.100,   +0.0922076247,   -0.4167005799,   +0.1100132998,   -0.3917249798
 2.200,   +0.0505375667,   -0.3858210191,   +0.0722660872,   -0.3630678503
 2.300,   +0.0119554648,   -0.3539146075,   +0.0374238669,   -0.3336856377
 2.400,   -0.0234359960,   -0.3213729206,   +0.0055414837,   -0.3039267185
 2.500,   -0.0555732881,   -0.2885600421,   -0.0233595799,   -0.2741098987
 2.600,   -0.0844292923,   -0.2558114541,   -0.0492882330,   -0.2445241966
 2.700,   -0.1100104377,   -0.2234332940,   -0.0722807997,   -0.2154289291
 2.800,   -0.1323537671,   -0.1917019549,   -0.0923980645,   -0.1870540725
 2.900,   -0.1515239626,   -0.1608640023,   -0.1097223670,   -0.1596008684
 3.000,   -0.1676103628,   -0.1311363826,   -0.1243547674,   -0.1332426440
 3.100,   -0.1807240011,   -0.1027068954,   -0.1364123044,   -0.1081258210
 3.200,   -0.1909946906,   -0.0757349027,   -0.1460253616,   -0.0843710836
 3.300,   -0.1985681809,   -0.0503522478,   -0.1533351579,   -0.0620746800
 3.400,   -0.2036034056,   -0.0266643575,   -0.1584913735,   -0.0413098331
 3.500,   -0.2062698414,   -0.0047515015,   -0.1616499217,   -0.0221282351
 3.600,   -0.2067449915,   +0.0153298170,   -0.1629708731,   -0.0045616048
 3.700,   -0.2052120098,   +0.0335453636,   -0.1626165383,   +0.0113767128
 3.800,   -0.2018574735,   +0.0498815908,   -0.1607497109,   +0.0256901254
 3.900,   -0.1968693144,   +0.0643439957,   -0.1575320740,   +0.0383971665
 4.000,   -0.1904349148,   +0.0769554364,   -0.1531227684,   +0.0495298797
 4.100,   -0.1827393712,   +0.0877544273,   -0.1476771217,   +0.0591322287
 4.200,   -0.1739639285,   +0.0967934320,   -0.1413455336,   +0.0672585445
 4.300,   -0.1642845853,   +0.1041371693,   -0.1342725156,   +0.0739720225
 4.400,   -0.1538708683,   +0.1098609478,   -0.1265958766,   +0.0793432781
 4.500,   -0.1428847735,   +0.1140490419,   -0.1184460507,   +0.0834489689
 4.600,   -0.1314798694,   +0.1167931222,   -0.1099455590,   +0.0863704910
 4.700,   -0.1198005571,   +0.1181907498,   -0.1012085971,   +0.0881927543
 4.800,   -0.1079814822,   +0.1183439431,   -0.0923407422,   +0.0890030403
 4.900,   -0.0961470879,   +0.1173578254,   -0.0834387687,   +0.0888899469
 5.000,   -0.0844113053,   +0.1153393586,   -0.0745905666,   +0.0879424207
 5.100,   -0.0728773695,   +0.1123961677,   -0.0658751503,   +0.0862488778
 5.200,   -0.0616377527,   +0.1086354601,   -0.0573627528,   +0.0838964139
 5.300,   -0.0507742067,   +0.1041630407,   -0.0491149929,   +0.0809701015
 5.400,   -0.0403579026,   +0.0990824258,   -0.0411851095,   +0.0775523740
 5.500,   -0.0304496600,   +0.0934940534,   -0.0336182525,   +0.0737224925
 5.600,   -0.0211002547,   +0.0874945913,   -0.0264518237,   +0.0695560946
 5.700,   -0.0123507956,   +0.0811763402,   -0.0197158581,   +0.0651248193
 5.800,   -0.0042331615,   +0.0746267293,   -0.0134334394,   +0.0604960073
 5.900,   +0.0032295114,   +0.0679279014,   -0.0076211423,   +0.0557324688
 6.000,   +0.0100223015,   +0.0611563841,   -0.0022894940,   +0.0508923182
 6.100,   +0.0161379400,   +0.0543828425,   +0.0025565501,   +0.0460288677
 6.200,   +0.0215762242,   +0.0476719085,   +0.0069171236,   +0.0411905780
 6.300,   +0.0263434151,   +0.0410820831,   +0.0107969634,   +0.0364210587
 6.400,   +0.0304516234,   +0.0346657041,   +0.0142049265,   +0.0317591157
 6.500,   +0.0339181938,   +0.0284689764,   +0.0171535139,   +0.0272388390
 6.600,   +0.0367650914,   +0.0225320574,   +0.0196584047,   +0.0228897276
 6.700,   +0.0390182972,   +0.0168891924,   +0.0217380051,   +0.0187368457
 6.800,   +0.0407072164,   +0.0115688960,   +0.0234130131,   +0.0148010067
 6.900,   +0.0418641060,   +0.0065941704,   +0.0247060044,   +0.0110989794
 7.000,   +0.0425235230,   +0.0019827597,   +0.0256410384,   +0.0076437137
 7.100,   +0.0427217990,   -0.0022525694,   +0.0262432886,   +0.0044445811
 7.200,   +0.0424965421,   -0.0061037225,   +0.0265386973,   +0.0015076257
 7.300,   +0.0418861698,   -0.0095669542,   +0.0265536553,   -0.0011641765
 7.400,   +0.0409294744,   -0.0126425315,   +0.0263147089,   -0.0035706537
 7.500,   +0.0396652212,   -0.0153343877,   +0.0258482923,   -0.0057141734
 7.600,   +0.0381317825,   -0.0176497707,   +0.0251804870,   -0.0075993779
 7.700,   +0.0363668054,   -0.0195988901,   +0.0243368073,   -0.0092329241
 7.800,   +0.0344069164,   -0.0211945669,   +0.0233420119,   -0.0106232282
 7.900,   +0.0322874597,   -0.0224518871,   +0.0222199402,   -0.0117802181
 8.000,   +0.0300422710,   -0.0233878648,   +0.0209933732,   -0.0127150956
 8.100,   +0.0277034845,   -0.0240211147,   +0.0196839175,   -0.0134401085
 8.200,   +0.0253013730,   -0.0243715382,   +0.0183119118,   -0.0139683342
 8.300,   +0.0228642192,   -0.0244600236,   +0.0168963539,   -0.0143134770
 8.400,   +0.0204182169,   -0.0243081629,   +0.0154548481,   -0.0144896779
 8.500,   +0.0179874006,   -0.0239379859,   +0.0140035698,   -0.0145113384
 8.600,   +0.0155936020,   -0.0233717133,   +0.0125572483,   -0.0143929590
 8.700,   +0.0132564306,   -0.0226315288,   +0.0111291641,   -0.0141489918
 8.800,   +0.0109932778,   -0.0217393710,   +0.0097311602,   -0.0137937079
 8.900,   +0.0088193407,   -0.0207167459,   +0.0083736669,   -0.0133410786
 9.000,   +0.0067476661,   -0.0195845591,   +0.0070657365,   -0.0128046712
 9.100,   +0.0047892102,   -0.0183629683,   +0.0058150888,   -0.0121975587
 9.200,   +0.0029529133,   -0.0170712555,   +0.0046281642,   -0.0115322421
 9.300,   +0.0012457878,   -0.0157277188,   +0.0035101843,   -0.0108205864
 9.400,   -0.0003269841,   -0.0143495820,   +0.0024652182,   -0.0100737680
 9.500,   -0.0017619423,   -0.0129529233,   +0.0014962537,   -0.0093022340
 9.600,   -0.0030572346,   -0.0115526199,   +0.0006052715,   -0.0085156724
 9.700,   -0.0042124966,   -0.0101623096,   -0.0002066777,   -0.0077229922
 9.800,   -0.0052287276,   -0.0087943671,   -0.0009393945,   -0.0069323128
 9.900,   -0.0061081643,   -0.0074598944,   -0.0015934521,   -0.0061509617
10.000,   -0.0068541537,   -0.0061687240,   -0.0021701167,   -0.0053854806
--------------------------------------------------------------------------
